tick,alive,dead,susceptible,exposed,infectious_asymptomatic,infectious_symptomatic,recovered,vaccinated,gdp,unemployment_rate_pct,national_debt,bank_reserves,bank_in_crisis,healthcare_patients,healthcare_capacity,healthcare_overwhelmed,companies_struggling,companies_bankrupt,lockdown_level,mask_mandate,stimulus_amount,vaccination_rate,mean_wallet,median_wallet,consumer_demand_index
91,9432,568,2521,61,39,233,6578,0,231882.27,3.89,0.0,11489315.85,0,233,500,0,0,0,3,0,0.0,0.0,171.45,145.82,0.6841
92,9429,571,2511,54,32,203,6629,0,229938.02,3.89,0.0,11517401.32,0,203,500,0,2,0,3,0,0.0,0.0,171.51,145.53,0.684
93,9428,572,2505,41,35,187,6660,0,230236.4,3.89,0.0,11545262.11,0,187,500,0,1,0,3,0,0.0,0.0,171.76,146.85,0.684
94,9427,573,2499,26,36,172,6694,0,230506.44,3.89,0.0,11572900.01,0,172,500,0,1,0,3,0,0.0,0.0,171.31,145.88,0.684
95,9426,574,2493,28,25,145,6735,0,228952.01,4.02,0.0,11450316.81,0,145,500,0,3,0,3,0,0.0,0.0,170.95,145.97,0.6839
96,9426,574,2481,30,25,127,6763,0,232895.13,4.06,0.0,11428714.28,0,127,500,0,1,0,3,0,0.0,0.0,171.41,147.25,0.6839
97,9425,575,2475,30,18,102,6800,0,230119.49,4.11,0.0,11407284.56,0,102,500,0,2,0,3,0,0.0,0.0,171.23,146.62,0.6839
98,9424,576,2463,36,10,94,6821,0,228912.34,4.11,0.0,11436026.29,0,94,500,0,0,0,3,0,0.0,0.0,170.65,145.62,0.6839
99,9422,578,2456,37,13,79,6837,0,236239.42,4.16,0.0,11414538.08,0,79,500,0,2,0,3,0,0.0,0.0,171.59,147.83,0.6838
100,9421,579,2447,34,13,67,6860,0,228943.3,4.21,0.0,11393221.77,0,67,500,0,2,0,3,0,0.0,0.0,171.14,146.92,0.6838
101,9420,580,2434,41,13,57,6875,0,232051.46,4.26,0.0,11372076.0,0,57,500,0,1,0,3,0,0.0,0.0,170.8,146.55,0.6838
102,9420,580,2420,43,15,57,6885,0,230114.23,4.34,0.0,11301099.39,0,57,500,0,2,0,3,0,0.0,0.0,170.42,147.18,0.6838
103,9420,580,2409,47,14,52,6898,0,232478.54,4.37,0.0,11280690.6,0,52,500,0,1,0,3,0,0.0,0.0,170.64,147.25,0.6838
104,9420,580,2404,43,13,44,6916,0,231768.38,4.44,0.0,11210445.07,0,44,500,0,2,0,3,0,0.0,0.0,170.52,147.52,0.6838
105,9419,581,2394,40,17,47,6921,0,233110.22,4.53,0.0,11140761.51,0,47,500,0,2,0,3,0,0.0,0.0,170.53,147.15,0.6837
106,9418,582,2386,34,23,49,6926,0,232721.63,4.58,0.0,11121635.42,0,49,500,0,1,0,3,0,0.0,0.0,170.51,147.26,0.6837
107,9417,583,2377,32,23,52,6933,0,230976.93,4.66,0.0,11052662.33,0,52,500,0,2,0,3,0,0.0,0.0,170.15,147.62,0.6837
108,9417,583,2366,38,20,50,6943,0,229766.0,4.7,0.0,11034241.04,0,50,500,0,3,0,3,0,0.0,0.0,169.61,147.31,0.6837
109,9417,583,2356,38,17,55,6951,0,229758.62,4.7,0.0,11065967.11,0,55,500,0,0,0,3,0,0.0,0.0,169.36,147.41,0.6837
110,9416,584,2349,37,9,55,6966,0,235112.02,4.7,0.0,11097439.37,0,55,500,0,1,0,3,0,0.0,0.0,169.61,147.98,0.6836
111,9415,585,2338,39,8,57,6973,0,230389.51,4.71,0.0,11128659.86,0,57,500,0,0,0,3,0,0.0,0.0,169.31,148.29,0.6836
112,9415,585,2329,37,11,55,6983,0,232394.02,4.74,0.0,11109630.58,0,55,500,0,3,0,3,0,0.0,0.0,169.6,148.31,0.6836
113,9414,586,2323,33,13,55,6990,0,230350.54,4.77,0.0,11090753.53,0,55,500,0,2,0,3,0,0.0,0.0,169.23,148.11,0.6836
114,9414,586,2316,33,16,55,6994,0,229980.17,4.77,0.0,11122027.5,0,55,500,0,0,0,3,0,0.0,0.0,168.88,148.23,0.6836
115,9413,587,2308,30,15,57,7003,0,231175.33,4.77,0.0,11153051.28,0,57,500,0,1,0,3,0,0.0,0.0,169.0,149.13,0.6836
116,9412,588,2301,28,14,56,7013,0,230457.17,4.77,0.0,11183826.87,0,56,500,0,0,0,3,0,0.0,0.0,168.77,148.94,0.6835
117,9411,589,2294,29,11,54,7023,0,231099.8,4.77,0.0,11214356.26,0,54,500,0,1,0,3,0,0.0,0.0,168.31,147.73,0.6835
118,9408,592,2290,26,12,50,7030,0,230506.75,4.86,0.0,11144641.41,0,50,500,0,2,0,3,0,0.0,0.0,168.28,148.45,0.6834
119,9408,592,2282,26,16,47,7037,0,230733.1,4.9,0.0,11125484.28,0,47,500,0,3,0,3,0,0.0,0.0,167.81,148.86,0.6834
120,9408,592,2278,23,12,49,7046,0,228146.07,4.9,0.0,11156480.4,0,49,500,0,0,0,3,0,0.0,0.0,167.52,147.92,0.6834
